Encoder	Load cell	Time
0	7074	3042
0	7248	3051
0	7182	3061
0	7116	3070
0	7117	3079
0	7087	3090
0	7155	3102
0	7174	3114
0	7138	3126
0	7122	3137
0	7162	3149
0	7306	3161
0	7215	3173
0	7015	3184
0	7105	3196
0	6974	3208
0	7039	3220
0	7133	3231
0	7273	3243
0	7065	3255
0	7007	3267
0	7094	3278
0	7140	3290
0	7114	3302
0	7108	3314
0	7008	3325
0	7011	3337
0	7074	3349
0	7191	3361
0	7017	3372
0	6993	3384
0	7069	3396
0	7057	3408
0	7157	3419
0	7168	3431
0	7042	3443
0	7105	3455
0	7106	3466
0	7033	3479
0	7139	3490
0	7181	3502
0	7236	3514
0	7061	3525
0	7056	3537
0	6986	3549
0	7131	3561
0	7287	3572
0	7265	3584
0	7072	3596
0	7102	3608
0	7143	3619
0	7134	3631
0	7006	3643
0	7033	3655
0	7258	3666
0	7220	3678
0	7069	3690
0	7091	3702
0	7205	3713
0	7245	3725
0	7195	3737
0	7109	3749
0	7029	3760
0	7104	3772
0	7199	3784
0	7078	3796
0	7167	3807
0	7208	3819
0	7055	3831
0	7096	3843
0	7149	3854
0	7219	3866
0	7086	3878
0	7191	3890
0	7138	3901
0	7117	3913
0	7274	3925
0	7218	3938
0	7011	3948
0	7163	3960
0	7267	3972
0	7164	3984
0	7112	3995
0	6985	4007
0	7214	4019
0	7355	4031
0	7240	4042
0	7111	4054
0	6965	4066
0	6882	4078
0	7108	4090
0	7205	4101
0	7072	4113
0	7053	4125
0	6990	4137
0	7085	4148
0	7095	4160
0	7151	4172
0	7013	4184
0	6816	4195
0	7020	4207
0	7222	4219
0	7029	4231
0	7102	4242
0	7111	4254
0	6993	4266
0	6913	4278
0	7114	4289
0	7442	4301
0	7254	4313
0	6995	4325
0	7044	4336
0	7108	4348
0	7228	4360
0	7233	4372
0	7202	4383
0	7180	4399
0	7158	4408
0	7152	4419
0	7039	4436
0	7122	4445
0	7123	4455
0	7007	4466
0	6931	4477
0	7119	4489
0	7124	4501
0	7266	4513
0	7272	4524
0	7145	4536
0	7166	4548
0	7092	4560
0	7168	4571
0	7079	4583
0	7086	4595
0	7016	4607
0	7094	4618
0	7081	4630
0	7132	4642
0	7136	4654
